0	32947600	0	-65895200
0	32947600	0	-65895200
2	32947600	32	11779296
4	32947600	65	-42336608
8	32947600	130	-18778016
12	32947600	195	4780576
18	32947600	293	-25776736
24	32947600	391	-56334048
32	32947600	521	-9216864
40	32947600	651	37900320
50	32947600	814	30901600
60	32947600	977	23902880
72	32947600	1173	-37211744
84	32947600	1368	33464032
98	32947600	1596	50023904
112	32947600	1825	-65206624
128	32947600	2085	29027744
144	32947600	2346	-8528288
162	32947600	2639	31590176
180	32947600	2933	-60081760
200	32947600	3258	57711200
220	32947600	3584	43713760
242	32947600	3943	-24399584
264	32947600	4301	39277472
288	32947600	4692	48838624
312	32947600	5083	58399776
338	32947600	5507	13845024
364	32947600	5931	-30709728
392	32947600	6387	2410016
420	32947600	6843	35529760
450	32947600	7332	14533600
480	32947600	7821	-6462560
512	32947600	8342	50215776
544	32947600	8864	-24896288
578	32947600	9418	-22333856
612	32947600	9972	-19771424
648	32947600	10558	60465504
684	32947600	11145	8912032
722	32947600	11764	35033056
760	32947600	12383	61154080
800	32947600	13035	33159200
840	32947600	13687	5164320
882	32947600	14371	54843936
924	32947600	15056	-27266848
968	32947600	15773	-31703136
1012	32947600	16490	-36139424
1058	32947600	17239	37098784
1104	32947600	17989	-21453408
1152	32947600	18771	-2331104
1200	32947600	19553	16791200
1250	32947600	20368	-18202400
1300	32947600	21183	-53196000
1352	32947600	22030	-10515104
1404	32947600	22877	32165792
1458	32947600	23757	20730784
1512	32947600	24637	9295776
1568	32947600	25550	-56255136
1624	32947600	26462	9984352
1682	32947600	27407	22107936
1740	32947600	28352	34231520
1800	32947600	29330	-7760800
1860	32947600	30308	-49753120
1922	32947600	31318	-14070944
1984	32947600	32328	21611232
2048	32947600	33371	3177504
2112	32947600	34414	-15256224
2178	32947600	35489	43984544
2244	32947600	36565	-28565088
2312	32947600	37673	-23440224
2380	32947600	38781	-18315360
2450	32947600	39921	64484000
2520	32947600	41062	15492960
2592	32947600	42235	44176416
2664	32947600	43409	-58930528
2738	32947600	44614	47427424
2812	32947600	45820	21994976
2888	32947600	47059	-57553376
2964	32947600	48297	-5311328
3042	32947600	49568	-7185184
3120	32947600	50839	-9059040
3200	32947600	52143	-65048800
3280	32947600	53446	10751840
3362	32947600	54782	32436576
3444	32947600	56118	54121312
3528	32947600	57487	21690144
3612	32947600	58856	-10741024
3698	32947600	60257	34502304
3784	32947600	61659	-52044768
3872	32947600	63093	-60917344
3960	32947600	64526	62000480
4050	32947600	65993	-988000
4140	32947600	67460	-63976480
4232	32947600	68959	-49290464
4324	32947600	70458	-34604448
4418	32947600	71989	57756064
4512	32947600	73521	18326176
4608	32947600	75085	56570784
4704	32947600	76650	-36975008
4802	32947600	78247	-52846304
4900	32947600	79843	63072800
5000	32947600	81473	-6914400
5100	32947600	83102	54888800
5202	32947600	84764	62576096
5304	32947600	86427	-61527008
5408	32947600	88121	23834784
5512	32947600	89816	-22593824
5618	32947600	91543	8652064
5724	32947600	93270	39897952
5832	32947600	95030	17027936
5940	32947600	96790	-5842080
6050	32947600	98582	48962400
6160	32947600	100375	-28023520
6272	32947600	102200	-27334944
6384	32947600	104025	-26646368
6498	32947600	105882	51716704
6612	32947600	107740	-1710624
6728	32947600	109630	22536544
6844	32947600	111520	46783712
6962	32947600	113443	16914976
7080	32947600	115366	-12953760
7200	32947600	117321	34852000
7320	32947600	119277	-49132640
7442	32947600	121265	-55442784
7564	32947600	123253	-61752928
7688	32947600	125273	9611424
7812	32947600	127294	-50814624
7938	32947600	129347	-33566176
8064	32947600	131400	-16317728
8192	32947600	133486	-53185184
8320	32947600	135571	41737760
8450	32947600	137690	-49245600
8580	32947600	139808	-8438560
8712	32947600	141959	-21747424
8844	32947600	144110	-35056288
